epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.0473,2.75767,4.78005,2.31109,0.00048,0.15168,0.00261,0.00081,2.74429,10.8597,1.66245,8.335e-05,8.335e-05,8.335e-05
2,107.736,2.09884,4.1746,1.66888,0.00172,0.4704,0.00818,0.00229,1.94364,9.39913,1.13712,0.000181555,0.000181555,0.000181555
3,127.514,1.86751,3.43941,1.45835,0.00213,0.5862,0.13799,0.03285,1.60514,8.37644,0.9126,0.000277779,0.000277779,0.000277779
4,148.618,1.7172,2.96792,1.35511,0.00211,0.58657,0.05747,0.01507,1.58907,8.25313,0.92316,0.000372023,0.000372023,0.000372023
5,172.939,1.63113,2.52749,1.30499,0.00184,0.49001,0.03133,0.00698,1.61,8.50714,1.00421,0.000464286,0.000464286,0.000464286
6,201.907,1.5761,2.3533,1.29507,0.00147,0.40326,0.01245,0.00207,1.56931,8.27114,0.92984,0.000554569,0.000554569,0.000554569
7,229.982,1.59949,2.27971,1.30795,0.00147,0.42212,0.06056,0.01644,1.74756,8.35332,1.06792,0.000642872,0.000642872,0.000642872
