epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2990.98,0.91714,0.49977,1.01218,0.91378,0.86049,0.91926,0.62868,1.04889,0.59904,1.16749,0.000848969,0.000848969,0.000848969
43,3061.02,0.93521,0.51186,1.01303,0.96148,0.90547,0.94546,0.64025,1.04569,0.55981,1.18628,0.000834822,0.000834822,0.000834822
44,3131.14,0.94046,0.51187,1.0222,0.88768,0.84156,0.89483,0.60584,1.05527,0.55727,1.18269,0.000820675,0.000820675,0.000820675
45,3201.11,0.91737,0.49452,1.01258,0.93602,0.88664,0.93839,0.65662,1.05044,0.57002,1.195,0.000806528,0.000806528,0.000806528
46,3270.99,0.92391,0.4961,1.01486,0.95765,0.88635,0.94042,0.6432,1.02525,0.58334,1.14676,0.00079238,0.00079238,0.00079238
47,3340.65,0.91289,0.49187,1.0132,0.92258,0.89604,0.9322,0.62527,1.04277,0.5726,1.18086,0.000778233,0.000778233,0.000778233
48,3410.56,0.9026,0.49181,1.00807,0.98227,0.88917,0.96107,0.65744,1.07841,0.52931,1.2262,0.000764086,0.000764086,0.000764086
49,3480.52,0.90417,0.48273,1.00581,0.96089,0.91456,0.96065,0.65433,1.03499,0.54173,1.16591,0.000749939,0.000749939,0.000749939
50,3550.14,0.89964,0.48461,1.00118,0.94469,0.91911,0.95224,0.65318,1.02824,0.52044,1.18065,0.000735792,0.000735792,0.000735792
51,3619.86,0.8946,0.48515,0.99959,0.98094,0.89597,0.96514,0.66893,1.00863,0.49393,1.14513,0.000721645,0.000721645,0.000721645
52,3690.18,0.88828,0.4713,0.99769,0.92597,0.8874,0.94339,0.66816,1.02644,0.53752,1.189,0.000707498,0.000707498,0.000707498
53,3759.98,0.88632,0.47343,0.99309,0.9731,0.88357,0.9641,0.65397,1.02653,0.50508,1.15398,0.000693351,0.000693351,0.000693351
54,3830.15,0.88812,0.47123,0.99405,0.92587,0.90406,0.95903,0.66268,1.01926,0.51746,1.14496,0.000679204,0.000679204,0.000679204
55,3899.96,0.88643,0.46377,0.99489,0.96738,0.88906,0.9512,0.65645,1.04202,0.50984,1.15748,0.000665057,0.000665057,0.000665057
56,3970.19,0.88327,0.46345,0.9922,0.95998,0.92207,0.96824,0.67237,1.00325,0.49621,1.1485,0.000650909,0.000650909,0.000650909
57,4040.59,0.87539,0.45852,0.9923,0.95274,0.88224,0.94811,0.65679,0.99346,0.51602,1.12962,0.000636762,0.000636762,0.000636762
58,4110.33,0.85181,0.45044,0.98311,0.97124,0.92609,0.95468,0.65844,1.00608,0.49785,1.12571,0.000622615,0.000622615,0.000622615
59,4180.07,0.86532,0.45438,0.98669,0.96414,0.90421,0.94942,0.64247,1.03303,0.50601,1.17898,0.000608468,0.000608468,0.000608468
60,4249.9,0.85995,0.45167,0.98278,0.97604,0.94144,0.97448,0.67645,1.02148,0.46496,1.15522,0.000594321,0.000594321,0.000594321
61,4319.32,0.85082,0.45441,0.98639,0.94397,0.90071,0.94986,0.66846,1.02795,0.51486,1.18444,0.000580174,0.000580174,0.000580174
62,4390.05,0.85641,0.45003,0.9788,0.93045,0.8591,0.93794,0.65053,1.04593,0.48412,1.18359,0.000566027,0.000566027,0.000566027
63,4460.26,0.83723,0.43541,0.97654,0.93884,0.87569,0.94047,0.65315,1.03274,0.53805,1.16771,0.00055188,0.00055188,0.00055188
64,4531.74,0.85436,0.44763,0.98267,0.98179,0.90744,0.96524,0.6578,1.02032,0.46255,1.16703,0.000537733,0.000537733,0.000537733
65,4604.27,0.85738,0.44032,0.98166,0.94557,0.92609,0.96279,0.66697,1.03936,0.47789,1.18285,0.000523586,0.000523586,0.000523586
66,4676.18,0.83127,0.43782,0.97008,0.95329,0.94689,0.96732,0.66565,1.03255,0.48105,1.17593,0.000509438,0.000509438,0.000509438
67,4746.92,0.83381,0.43285,0.97249,0.95283,0.93308,0.96052,0.66729,1.03312,0.52215,1.14538,0.000495291,0.000495291,0.000495291
68,4819,0.82974,0.42704,0.97005,0.97495,0.94234,0.97887,0.67672,1.01281,0.48158,1.14387,0.000481144,0.000481144,0.000481144
69,4890.5,0.82234,0.42003,0.96675,0.98271,0.92322,0.98107,0.67207,1.04392,0.47949,1.15903,0.000466997,0.000466997,0.000466997
70,4961.81,0.82183,0.42311,0.96764,0.94706,0.94689,0.97367,0.69042,1.0153,0.46916,1.15214,0.00045285,0.00045285,0.00045285
71,5034.41,0.81296,0.42595,0.96262,0.97477,0.93424,0.97112,0.67978,1.0289,0.47681,1.17526,0.000438703,0.000438703,0.000438703
72,5105.92,0.81392,0.42245,0.96858,0.96545,0.93746,0.97121,0.65141,1.04445,0.46797,1.19348,0.000424556,0.000424556,0.000424556
73,5176.9,0.8224,0.42451,0.96557,0.96992,0.90464,0.97005,0.66534,1.0217,0.45176,1.18107,0.000410409,0.000410409,0.000410409
74,5248.71,0.80837,0.41179,0.96544,0.96855,0.91457,0.97501,0.68003,1.00751,0.46578,1.15483,0.000396262,0.000396262,0.000396262
75,5318.42,0.81051,0.41983,0.96591,0.95138,0.91911,0.95809,0.6601,1.01819,0.45327,1.16001,0.000382115,0.000382115,0.000382115
76,5388.88,0.79857,0.40866,0.96049,0.97452,0.93493,0.97328,0.68229,1.00349,0.45109,1.15799,0.000367967,0.000367967,0.000367967
77,5459.16,0.80589,0.41087,0.9644,0.97039,0.92498,0.97202,0.68256,1.00938,0.466,1.16243,0.00035382,0.00035382,0.00035382
78,5530.39,0.79341,0.40114,0.95587,0.97431,0.91185,0.97044,0.67719,1.01188,0.46906,1.14458,0.000339673,0.000339673,0.000339673
79,5604.96,0.79305,0.4033,0.95873,0.99881,0.91573,0.97849,0.68571,0.99311,0.43867,1.12636,0.000325526,0.000325526,0.000325526
80,5678.76,0.79807,0.40239,0.95531,1,0.92463,0.97684,0.68466,1.01131,0.45229,1.14528,0.000311379,0.000311379,0.000311379
81,5752,0.79506,0.40255,0.95789,0.9628,0.92483,0.96836,0.6815,1.02322,0.47475,1.14338,0.000297232,0.000297232,0.000297232
82,5826.77,0.79406,0.40629,0.95594,0.99807,0.91868,0.97605,0.68246,1.00281,0.45049,1.13413,0.000283085,0.000283085,0.000283085
83,5900.66,0.7717,0.39605,0.95094,0.99957,0.90281,0.97731,0.68835,0.99368,0.44263,1.14655,0.000268938,0.000268938,0.000268938
84,5974.55,0.77279,0.39216,0.95014,0.97822,0.9215,0.97871,0.68317,1.022,0.43114,1.14244,0.000254791,0.000254791,0.000254791
85,6045.1,0.77228,0.39281,0.94515,0.97713,0.91922,0.9733,0.6844,1.00795,0.41181,1.14411,0.000240644,0.000240644,0.000240644
86,6116.64,0.75445,0.385,0.93684,0.98449,0.92155,0.97595,0.68085,1.00646,0.42769,1.15313,0.000226497,0.000226497,0.000226497
87,6187.6,0.77075,0.38778,0.94828,0.97648,0.91475,0.97198,0.69046,1.00458,0.42449,1.14821,0.000212349,0.000212349,0.000212349
88,6258.38,0.75702,0.3904,0.94419,0.97134,0.92382,0.97003,0.6837,1.01296,0.41785,1.15265,0.000198202,0.000198202,0.000198202
89,6329.62,0.7587,0.3794,0.93887,0.98932,0.91258,0.97626,0.69217,0.99064,0.41614,1.14328,0.000184055,0.000184055,0.000184055
90,6403.67,0.75516,0.37857,0.93731,0.97669,0.93308,0.97313,0.68489,1.00251,0.41882,1.14031,0.000169908,0.000169908,0.000169908
91,6476.14,0.71141,0.32582,0.91939,0.97333,0.94076,0.97095,0.67245,0.99671,0.42696,1.14118,0.000155761,0.000155761,0.000155761
92,6546.98,0.70324,0.31694,0.91075,0.95916,0.92496,0.96982,0.67444,1.01786,0.42686,1.17434,0.000141614,0.000141614,0.000141614
93,6617.6,0.6901,0.31247,0.91456,0.92434,0.92379,0.96101,0.68438,1.00216,0.42497,1.14513,0.000127467,0.000127467,0.000127467
94,6688.73,0.68874,0.31184,0.91109,0.94726,0.92679,0.9721,0.6877,0.98937,0.41929,1.13129,0.00011332,0.00011332,0.00011332
95,6759.62,0.68107,0.30796,0.90542,0.99522,0.92438,0.97669,0.68202,0.99463,0.41247,1.14111,9.91726e-05,9.91726e-05,9.91726e-05
96,6830.15,0.67327,0.30791,0.90405,0.93798,0.93808,0.96456,0.67839,0.99777,0.41735,1.15693,8.50255e-05,8.50255e-05,8.50255e-05
97,6901.33,0.6818,0.3082,0.90351,0.94786,0.93739,0.96044,0.68516,0.99627,0.41604,1.14988,7.08784e-05,7.08784e-05,7.08784e-05
98,6971.78,0.66061,0.30292,0.89634,0.97089,0.91613,0.96349,0.67852,1.00969,0.42056,1.15379,5.67313e-05,5.67313e-05,5.67313e-05
99,7041.86,0.66009,0.30113,0.89223,0.95891,0.91684,0.96581,0.68182,1.00452,0.41886,1.15275,4.25842e-05,4.25842e-05,4.25842e-05
100,7112.18,0.66075,0.29857,0.90445,0.98303,0.90758,0.96557,0.67922,1.00268,0.41544,1.14883,2.84371e-05,2.84371e-05,2.84371e-05
