epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6199,3.58751,3.89157,2.8744,0.00199,0.20126,0.00517,0.00166,4.26795,4.15416,3.56929,8.335e-05,8.335e-05,8.335e-05
2,32.1343,3.40513,3.87761,2.81285,0.002,0.20083,0.00735,0.00194,4.3134,4.11185,3.60786,0.000176109,0.000176109,0.000176109
3,47.5949,3.05902,3.80539,2.60539,0.00259,0.30417,0.01173,0.00325,4.32779,4.05869,3.58844,0.000260946,0.000260946,0.000260946
4,62.0085,2.79738,3.61331,2.40337,0.00287,0.36583,0.01547,0.00392,3.84039,3.95687,3.27695,0.000337861,0.000337861,0.000337861
5,76.5724,2.55069,3.28213,2.07052,0.00282,0.38667,0.01167,0.00333,3.46364,3.90938,2.95813,0.000406855,0.000406855,0.000406855
6,90.7367,2.41833,2.9252,1.93729,0.00327,0.47981,0.01029,0.00409,3.10863,3.7919,2.61408,0.000467927,0.000467927,0.000467927
7,104.751,2.22495,2.48559,1.79173,0.20116,0.20126,0.1009,0.03242,2.72891,3.51187,2.21528,0.000521078,0.000521078,0.000521078
8,118.983,2.14199,2.21217,1.72487,0.37803,0.14713,0.19222,0.07308,2.53401,3.05911,1.92693,0.000566307,0.000566307,0.000566307
9,135.069,2.09856,2.07933,1.65431,0.45138,0.34585,0.29996,0.12786,2.21964,2.67419,1.66764,0.000603614,0.000603614,0.000603614
10,149.313,1.97132,2.02198,1.58134,0.35442,0.28333,0.28299,0.11834,2.28856,2.63942,1.68502,0.000633,0.000633,0.000633
11,163.261,1.90706,1.91798,1.5455,0.43617,0.46027,0.36818,0.17944,1.85946,2.25828,1.4502,0.000654464,0.000654464,0.000654464
12,177.276,1.85148,1.89608,1.53614,0.47399,0.45983,0.40027,0.18641,1.86918,2.20716,1.47635,0.000668007,0.000668007,0.000668007
13,191.008,1.85472,1.8016,1.50898,0.52803,0.51086,0.48517,0.23339,1.8017,1.98743,1.44161,0.000673628,0.000673628,0.000673628
14,204.83,1.71323,1.71416,1.4273,0.5422,0.48958,0.50664,0.26709,1.84688,1.99911,1.50106,0.000671328,0.000671328,0.000671328
15,218.762,1.72108,1.675,1.45591,0.56584,0.58031,0.59114,0.31639,1.7241,1.78219,1.41015,0.000661106,0.000661106,0.000661106
16,232.953,1.55781,1.66133,1.37897,0.65274,0.56144,0.60955,0.31115,1.69022,1.80382,1.42265,0.000642962,0.000642962,0.000642962
17,246.725,1.44825,1.5423,1.30673,0.65144,0.5194,0.62238,0.32478,1.69993,1.7447,1.384,0.000610789,0.000610789,0.000610789
18,260.53,1.44303,1.43152,1.28063,0.72712,0.65699,0.74349,0.38904,1.69361,1.55266,1.36084,0.000544776,0.000544776,0.000544776
19,274.251,1.41851,1.3546,1.28802,0.69986,0.73671,0.77381,0.40645,1.67793,1.47774,1.36258,0.000478762,0.000478762,0.000478762
20,288.95,1.40543,1.34387,1.29398,0.76856,0.6878,0.79145,0.39085,1.71054,1.46565,1.38502,0.000412749,0.000412749,0.000412749
21,304.364,1.405,1.24286,1.27622,0.8003,0.71884,0.82591,0.42025,1.64844,1.45825,1.36577,0.000346736,0.000346736,0.000346736
22,318.422,1.38948,1.176,1.26226,0.82064,0.69147,0.83839,0.46257,1.54331,1.33683,1.31073,0.000280723,0.000280723,0.000280723
23,332.578,1.40831,1.17091,1.25226,0.85854,0.74026,0.85499,0.46914,1.53104,1.28326,1.28991,0.00021471,0.00021471,0.00021471
24,346.356,1.3473,1.1547,1.24449,0.89515,0.71965,0.84204,0.46022,1.54505,1.27329,1.29013,0.000148696,0.000148696,0.000148696
25,360.783,1.28655,1.13153,1.1923,0.91675,0.7255,0.84782,0.46955,1.54146,1.23157,1.28479,8.26832e-05,8.26832e-05,8.26832e-05
